Time [ms],rhoC,ViscosityA,ViscosityB,DensityB,MAF,Power [kW],CurrentA,CurrentB,CurrentC,VoltageA,VoltageB,VoltageC,SmpInjFlow,FlowA,FlowB,DiffFlow,DiffCons,Soot Dilution Eng 1,NO (350
15202,846.604349,3.422052,3.402137,825.055667,-0.532686,0.673303,0.715368,0.995013,0.978891,427.55888,443.872587,427.702707,-0.052909,1605.273747,1581.858232,23.415514,0.647863,1067.879413,203.910499
15402,846.804998,3.599941,3.480377,825.091959,-0.591077,0.481822,0.812856,0.625607,0.488789,427.702919,444.003954,427.807194,-0.059117,1605.656611,1581.581919,24.074691,0.649201,1064.413416,203.910499
15600,850.491888,3.516733,3.369733,824.264836,-0.525479,0.487161,0.679981,0.668009,0.600211,427.450082,443.819696,427.605025,-0.051969,1605.557424,1581.720935,23.836489,0.650525,1059.932736,203.910499
15800,849.931753,3.541115,3.407708,824.570699,-0.557156,0.419862,0.645754,0.464306,0.57318,427.475586,443.865074,427.595928,-0.056033,1605.590179,1581.887662,23.702517,0.651842,1056.332487,203.910499
16002,848.850014,3.551682,3.437307,824.91636,-0.482262,0.443887,0.736439,0.472686,0.570156,427.644133,444.150775,427.878636,-0.047839,1605.676389,1581.881172,23.795217,0.653164,1056.196846,203.910499
16200,847.585867,3.565981,3.414886,824.905985,-0.516001,0.441369,0.866501,0.433834,0.471388,427.39107,443.892278,427.59657,-0.050969,1605.67036,1581.722563,23.947798,0.654495,1058.195101,203.010865
16403,849.253155,3.579783,3.473656,825.302108,-0.463149,0.405919,0.695995,0.452573,0.478496,427.437878,443.978555,427.682645,-0.0459,1605.059361,1581.629499,23.429862,0.655797,1061.414862,203.010865
16615,849.809396,3.550483,3.410925,824.826592,-0.531347,0.490846,0.673801,0.793609,0.490612,427.42621,443.998854,427.645867,-0.052959,1605.390898,1581.773633,23.617265,0.657109,1059.754059,203.010865
16800,847.755772,3.592807,3.489304,825.30627,-0.522341,0.601076,0.971656,0.79797,0.633646,427.591332,444.25136,427.87847,-0.052258,1605.535125,1581.781622,23.753503,0.658429,1063.843704,203.010865
17000,848.775821,3.617833,3.496324,825.147239,-0.613605,0.467107,0.786034,0.517616,0.569422,427.256644,443.945611,427.486889,-0.06094,1605.53289,1581.616125,23.916766,0.659758,1062.772085,203.010865
